Date,Tsla
2017-02-19,12
2017-02-26,9
2017-03-05,6
2017-03-12,6
2017-03-19,5
2017-03-26,6
2017-04-02,13
2017-04-09,10
2017-04-16,7
2017-04-23,7
2017-04-30,13
2017-05-07,9
2017-05-14,7
2017-05-21,7
2017-05-28,7
2017-06-04,10
2017-06-11,10
2017-06-18,9
2017-06-25,8
2017-07-02,15
2017-07-09,10
2017-07-16,9
2017-07-23,9
2017-07-30,16
2017-08-06,10
2017-08-13,6
2017-08-20,5
2017-08-27,5
2017-09-03,4
2017-09-10,7
2017-09-17,7
2017-09-24,6
2017-10-01,8
2017-10-08,7
2017-10-15,6
2017-10-22,6
2017-10-29,14
2017-11-05,7
2017-11-12,11
2017-11-19,6
2017-11-26,7
2017-12-03,6
2017-12-10,8
2017-12-17,6
2017-12-24,5
2017-12-31,7
2018-01-07,8
2018-01-14,5
2018-01-21,6
2018-01-28,6
2018-02-04,11
2018-02-11,6
2018-02-18,5
2018-02-25,6
2018-03-04,5
2018-03-11,5
2018-03-18,6
2018-03-25,16
2018-04-01,17
2018-04-08,11
2018-04-15,9
2018-04-22,7
2018-04-29,15
2018-05-06,9
2018-05-13,9
2018-05-20,10
2018-05-27,7
2018-06-03,12
2018-06-10,13
2018-06-17,12
2018-06-24,10
2018-07-01,14
2018-07-08,9
2018-07-15,10
2018-07-22,12
2018-07-29,23
2018-08-05,30
2018-08-12,20
2018-08-19,18
2018-08-26,14
2018-09-02,18
2018-09-09,17
2018-09-16,15
2018-09-23,24
2018-09-30,27
2018-10-07,21
2018-10-14,15
2018-10-21,30
2018-10-28,16
2018-11-04,13
2018-11-11,10
2018-11-18,8
2018-11-25,9
2018-12-02,9
2018-12-09,10
2018-12-16,9
2018-12-23,9
2018-12-30,11
2019-01-06,9
2019-01-13,9
2019-01-20,11
2019-01-27,15
2019-02-03,11
2019-02-10,11
2019-02-17,14
2019-02-24,25
2019-03-03,26
2019-03-10,24
2019-03-17,25
2019-03-24,22
2019-03-31,20
2019-04-07,15
2019-04-14,12
2019-04-21,29
2019-04-28,21
2019-05-05,16
2019-05-12,20
2019-05-19,33
2019-05-26,23
2019-06-02,24
2019-06-09,21
2019-06-16,17
2019-06-23,12
2019-06-30,15
2019-07-07,13
2019-07-14,13
2019-07-21,21
2019-07-28,12
2019-08-04,9
2019-08-11,10
2019-08-18,9
2019-08-25,8
2019-09-01,7
2019-09-08,9
2019-09-15,7
2019-09-22,9
2019-09-29,10
2019-10-06,8
2019-10-13,9
2019-10-20,22
2019-10-27,13
2019-11-03,11
2019-11-10,12
2019-11-17,17
2019-11-24,12
2019-12-01,9
2019-12-08,10
2019-12-15,18
2019-12-22,16
2019-12-29,15
2020-01-05,25
2020-01-12,30
2020-01-19,24
2020-01-26,40
2020-02-02,96
2020-02-09,42
2020-02-16,39
2020-02-23,43
2020-03-01,33
2020-03-08,38
2020-03-15,40
2020-03-22,28
2020-03-29,24
2020-04-05,20
2020-04-12,29
2020-04-19,23
2020-04-26,40
2020-05-03,27
2020-05-10,22
2020-05-17,17
2020-05-24,14
2020-05-31,20
2020-06-07,30
2020-06-14,21
2020-06-21,18
2020-06-28,27
2020-07-05,47
2020-07-12,57
2020-07-19,60
2020-07-26,33
2020-08-02,23
2020-08-09,39
2020-08-16,56
2020-08-23,54
2020-08-30,100
2020-09-06,73
2020-09-13,59
2020-09-20,74
2020-09-27,42
2020-10-04,34
2020-10-11,31
2020-10-18,36
2020-10-25,26
2020-11-01,24
2020-11-08,24
2020-11-15,48
2020-11-22,38
2020-11-29,43
2020-12-06,52
2020-12-13,45
2020-12-20,42
2020-12-27,30
2021-01-03,59
2021-01-10,54
2021-01-17,32
2021-01-24,53
2021-01-31,37
2021-02-07,34
2021-02-14,29
2021-02-21,57
2021-02-28,51
2021-03-07,58
2021-03-14,36
2021-03-21,37
2021-03-28,33
2021-04-04,32
2021-04-11,36
2021-04-18,30
2021-04-25,37
2021-05-02,26
2021-05-09,36
2021-05-16,34
2021-05-23,26
2021-05-30,22
2021-06-06,24
2021-06-13,20
2021-06-20,25
2021-06-27,21
2021-07-04,18
2021-07-11,19
2021-07-18,17
2021-07-25,28
2021-08-01,21
2021-08-08,19
2021-08-15,22
2021-08-22,18
2021-08-29,17
2021-09-05,15
2021-09-12,17
2021-09-19,17
2021-09-26,18
2021-10-03,17
2021-10-10,14
2021-10-17,23
2021-10-24,39
2021-10-31,35
2021-11-07,39
2021-11-14,26
2021-11-21,18
2021-11-28,20
2021-12-05,21
2021-12-12,21
2021-12-19,20
2021-12-26,19
2022-01-02,27
2022-01-09,20
2022-01-16,17
2022-01-23,34
2022-01-30,23
2022-02-06,17
