"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 06, 2022","860.00","923.32","947.69","850.70","26.55M","-6.86%"
"Jan 30, 2022","923.32","872.59","943.70","862.45","24.54M","9.09%"
"Jan 23, 2022","846.35","904.76","987.69","792.01","208.58M","-10.33%"
"Jan 16, 2022","943.90","1,026.60","1,070.79","940.50","105.45M","-10.07%"
"Jan 09, 2022","1,049.61","1,000.00","1,115.60","980.00","137.25M","2.21%"
"Jan 02, 2022","1,026.96","1,147.75","1,208.00","1,010.00","153.18M","-2.82%"
"Dec 26, 2021","1,056.78","1,073.67","1,119.00","1,053.15","91.80M","-0.96%"
"Dec 19, 2021","1,067.00","910.70","1,072.98","886.12","104.78M","14.42%"
"Dec 12, 2021","932.57","1,001.09","1,005.00","909.04","136.07M","-8.30%"
"Dec 05, 2021","1,017.03","1,001.51","1,072.38","950.50","99.59M","0.20%"
"Nov 28, 2021","1,014.97","1,100.99","1,172.84","1,000.21","124.64M","-6.19%"
"Nov 21, 2021","1,081.92","1,162.33","1,201.95","1,062.00","103.49M","-4.85%"
"Nov 14, 2021","1,137.06","1,017.63","1,138.72","978.60","135.30M","10.03%"
"Nov 07, 2021","1,033.42","1,149.79","1,197.00","987.31","183.32M","-15.44%"
"Oct 31, 2021","1,222.09","1,145.00","1,243.49","1,118.66","180.44M","9.70%"
"Oct 24, 2021","1,114.00","950.53","1,115.21","944.20","220.92M","22.46%"
"Oct 17, 2021","909.68","851.79","910.00","851.47","109.98M","7.91%"
"Oct 10, 2021","843.03","787.65","843.21","785.50","81.51M","7.33%"
"Oct 03, 2021","785.49","796.50","806.97","773.22","99.48M","1.32%"
"Sep 26, 2021","775.22","773.12","799.00","763.59","109.38M","0.11%"
"Sep 19, 2021","774.39","734.56","774.80","718.62","89.54M","1.96%"
"Sep 12, 2021","759.49","740.21","761.04","708.85","98.96M","3.15%"
"Sep 05, 2021","736.27","740.00","764.45","734.52","68.10M","0.37%"
"Aug 29, 2021","733.57","714.72","741.99","712.73","80.73M","3.04%"
"Aug 22, 2021","711.92","685.44","716.97","680.75","73.04M","4.65%"
"Aug 15, 2021","680.26","705.07","709.50","648.84","96.33M","-5.15%"
"Aug 08, 2021","717.17","710.17","729.90","699.40","72.36M","2.58%"
"Aug 01, 2021","699.10","700.00","726.94","697.63","100.78M","1.73%"
"Jul 25, 2021","687.20","650.97","697.53","627.24","134.21M","6.81%"
"Jul 18, 2021","643.38","629.89","664.86","621.29","80.45M","-0.13%"
"Jul 11, 2021","644.22","662.20","693.28","637.88","105.11M","-1.94%"
"Jul 04, 2021","656.95","681.71","684.00","620.46","82.99M","-3.23%"
"Jun 27, 2021","678.90","671.64","700.00","670.32","103.67M","1.05%"
"Jun 20, 2021","671.87","624.48","697.62","608.88","153.55M","7.79%"
"Jun 13, 2021","623.31","612.23","628.35","593.50","107.59M","2.20%"
"Jun 06, 2021","609.89","591.83","623.09","582.88","105.31M","1.81%"
"May 30, 2021","599.05","627.80","633.80","571.22","95.54M","-4.19%"
"May 23, 2021","625.22","581.60","635.59","573.65","140.31M","7.63%"
"May 16, 2021","580.88","575.55","596.68","546.98","165.65M","-1.50%"
"May 09, 2021","589.74","664.90","665.05","559.65","189.28M","-12.29%"
"May 02, 2021","672.37","703.80","706.00","650.00","129.94M","-5.23%"
"Apr 25, 2021","709.44","741.00","749.30","666.14","152.35M","-2.74%"
"Apr 18, 2021","729.40","719.60","753.77","691.80","170.51M","-1.40%"
"Apr 11, 2021","739.78","685.70","780.79","682.09","178.63M","9.27%"
"Apr 04, 2021","677.02","707.71","708.16","667.84","141.79M","2.31%"
"Mar 28, 2021","661.75","615.64","692.42","591.01","136.71M","6.96%"
"Mar 21, 2021","618.71","684.59","699.62","599.89","176.88M","-5.52%"
"Mar 14, 2021","654.87","694.09","713.18","624.62","178.25M","-5.60%"
"Mar 07, 2021","693.73","600.55","717.85","558.79","249.75M","16.02%"
"Feb 28, 2021","597.95","690.11","721.11","539.49","236.39M","-11.48%"
"Feb 21, 2021","675.50","762.64","768.50","619.00","220.76M","-13.54%"
"Feb 14, 2021","781.30","818.00","821.00","762.01","82.80M","-4.27%"
"Feb 07, 2021","816.12","869.67","877.77","785.33","116.93M","-4.24%"
"Jan 31, 2021","852.23","814.29","880.50","795.56","102.46M","7.40%"
"Jan 24, 2021","793.53","855.00","900.40","780.10","153.01M","-6.27%"
"Jan 17, 2021","846.64","837.80","859.50","828.62","91.70M","2.48%"
"Jan 10, 2021","826.16","849.40","868.00","803.62","209.18M","-6.12%"
"Jan 03, 2021","880.02","719.46","884.49","717.19","252.14M","24.71%"
"Dec 27, 2020","705.67","674.51","718.72","655.00","147.69M","6.63%"
"Dec 20, 2020","661.77","666.24","668.50","614.23","165.95M","-4.78%"
"Dec 13, 2020","695.00","619.00","695.00","605.00","417.76M","13.94%"
"Dec 06, 2020","609.99","604.92","654.32","566.34","305.42M","1.83%"
"Nov 29, 2020","599.04","602.21","607.80","541.21","223.11M","2.27%"
"Nov 22, 2020","585.76","503.50","598.78","501.79","190.40M","19.64%"
"Nov 15, 2020","489.61","408.93","508.61","404.09","261.46M","19.86%"
"Nov 08, 2020","408.50","439.50","452.50","396.03","122.25M","-4.99%"
"Nov 01, 2020","429.95","394.00","440.00","392.30","145.64M","10.80%"
"Oct 25, 2020","388.04","411.63","430.50","379.11","141.62M","-7.75%"
"Oct 18, 2020","420.63","446.24","447.00","407.38","174.02M","-4.33%"
"Oct 11, 2020","439.67","442.00","465.90","436.60","189.75M","1.31%"
"Oct 04, 2020","434.00","423.35","439.00","406.05","206.34M","4.56%"
"Sep 27, 2020","415.09","424.62","448.88","411.60","270.38M","1.90%"
"Sep 20, 2020","407.34","453.13","455.68","351.30","447.90M","-7.87%"
"Sep 13, 2020","442.15","380.95","461.94","373.30","416.05M","18.63%"
"Sep 06, 2020","372.72","356.00","398.99","329.88","340.58M","-10.90%"
"Aug 30, 2020","418.32","444.61","502.49","372.02","502.59M","-5.50%"
"Aug 23, 2020","442.68","425.25","463.70","385.50","443.68M","7.97%"
"Aug 16, 2020","410.00","335.40","419.10","334.57","455.12M","24.19%"
"Aug 09, 2020","330.14","289.60","333.76","273.00","355.25M","13.63%"
"Aug 02, 2020","290.54","289.84","305.48","283.00","185.46M","1.53%"
"Jul 26, 2020","286.15","287.00","312.94","282.60","305.76M","0.97%"
"Jul 19, 2020","283.40","303.80","337.80","273.31","455.82M","-5.59%"
"Jul 12, 2020","300.17","331.80","359.00","286.20","512.01M","-2.84%"
"Jul 05, 2020","308.93","255.34","309.78","253.21","467.13M","27.80%"
"Jun 28, 2020","241.73","193.80","245.60","189.70","282.61M","25.93%"
"Jun 21, 2020","191.95","199.99","202.40","187.43","208.98M","-4.11%"
"Jun 14, 2020","200.18","183.56","203.84","181.70","290.35M","7.01%"
"Jun 07, 2020","187.06","183.80","205.50","181.83","384.03M","5.61%"
"May 31, 2020","177.13","171.60","181.73","170.82","266.50M","6.07%"
"May 24, 2020","167.00","166.90","167.00","157.00","193.64M","2.22%"
"May 17, 2020","163.38","165.56","166.94","159.20","254.43M","2.22%"
"May 10, 2020","159.83","158.10","168.66","152.66","378.46M","-2.47%"
"May 03, 2020","163.88","140.20","164.80","139.60","375.05M","16.84%"
"Apr 26, 2020","140.26","147.52","173.96","136.61","565.62M","-3.29%"
"Apr 19, 2020","145.03","146.54","153.11","134.76","378.27M","-3.81%"
"Apr 12, 2020","150.78","118.03","154.99","116.11","552.08M","31.57%"
"Apr 05, 2020","114.60","102.24","115.04","99.59","295.64M","19.37%"
"Mar 29, 2020","96.00","102.05","108.59","89.28","427.72M","-6.68%"
"Mar 22, 2020","102.87","86.72","112.00","82.10","461.86M","20.30%"
"Mar 15, 2020","85.51","93.90","98.97","70.10","633.76M","-21.78%"
"Mar 08, 2020","109.32","121.08","133.60","100.40","438.16M","-22.30%"
"Mar 01, 2020","140.70","142.25","161.40","136.85","422.72M","5.31%"
